GeneID	inverted	FS-FI	FS-FI.18	FS-FI.25	FS-FI.int	FS-MS	FS-MS.18	FS-MS.25	FS-MS.int	MS-FI	MS-FI.18	MS-FI.25	MS-FI.int	T18-25
ade3	Std	0.667990706	0.594955622	0.865114875	0.752254042	0.865114875	0.963807943	0.651408216	0.665491307	0.498710241	0.626543543	0.534299729	0.906809368	0.007007976
Adh	Std	0.210974289	0.294430308	0.315370874	0.970261206	0.315370874	0.895372823	0.045101662	0.06175835	0.017760705	0.357897585	0.003391363	0.06582463	0.118691852
Adhr	Std	0.626694526	0.519658186	0.895560437	0.636179601	0.895560437	0.304592051	0.072461691	0.568036121	0.032813818	0.098571991	0.060448692	0.942530313	0.027771895
adp	Std	0.33310181	0.140470761	0.93058803	0.220570874	0.93058803	0.988001511	0.258711571	0.337531	0.100991471	0.137288717	0.227196123	0.79348081	3.09E-05
Mps1	In3RP	0.110095696	0.014739664	0.960600487	0.030337372	0.960600487	0.136535547	0.772662467	0.113550543	0.412605863	0.318597229	0.737298416	0.553955427	0.009245767
Ald	Std	0.515961634	0.506928379	0.085038471	0.040505716	0.085038471	0.058139734	0.141037287	0.004310754	0.353344411	0.210458568	0.793854111	0.384402468	0.001919514
Ama	Std	0.417482106	0.154714511	0.642335015	0.992377669	0.642335015	0.216516254	0.549751459	0.193539274	0.44258684	0.935806686	0.37300227	0.370882781	0.046667517
amd	Std	0.243652408	0.148617236	0.654457412	0.370104652	0.654457412	0.08211027	0.960863468	0.120628671	0.900370029	0.74625368	0.625489776	0.477615189	0.301366092
amx	Std	0.109159317	0.885376179	0.010545595	0.045324612	0.010545595	0.587864534	0.853780327	0.520352484	0.173394148	0.688072864	0.007202226	0.009553842	1.07E-12
Amy-d	Std	0.012902888	0.004255794	0.223877007	0.134921182	0.223877007	0.912773046	0.300511372	0.321306256	0.002817407	0.00572204	0.028450767	0.598097934	0.007414357
Amy-p	Std	0.030368593	0.25547898	0.015591438	0.251496656	0.015591438	0.452180038	0.039547947	0.248710074	0.633727452	0.695730111	0.697268669	0.996694528	0.01596767
AnxB9	In3RP	3.50E-06	2.31E-06	0.002413365	0.068063588	0.002413365	0.357964849	0.298199716	0.091324086	2.68E-06	5.57E-05	9.23E-05	0.890295655	1.06E-05
AnxB10	Std	0.548522266	0.082830515	0.446256645	0.032214432	0.446256645	0.518556341	0.300948713	0.146003286	0.399127064	0.268638277	0.78247848	0.471664601	1.23E-09
aop	Std	0.133844795	0.016289294	0.995408597	0.035626557	0.995408597	0.154689429	0.642066722	0.395315236	0.729137722	0.305655539	0.647889572	0.200183416	0.334224326
RpLP0	Std	0.418883225	0.062848235	0.580335779	0.037789464	0.580335779	0.669898408	0.759445168	0.524786433	0.460384208	0.146513918	0.804057054	0.14115951	0.000377067
Appl	Std	0.376704445	0.147352453	0.987485354	0.220194381	0.987485354	0.014111191	0.44148782	0.142829354	0.268485274	0.28381708	0.454672756	0.795786647	2.87E-05
Aprt	Std	0.82899213	0.297773276	0.454769712	0.121022135	0.454769712	0.959488128	0.797899961	0.863785108	0.690872287	0.276117892	0.627177462	0.168811592	3.82E-05
bru1	Std	0.135922196	0.087590168	0.461816468	0.392456281	0.461816468	0.345223933	0.810118447	0.304856425	0.283036311	0.432994338	0.329297896	0.863773152	7.00E-05
Arl1	Std	0.994488592	0.364826625	0.357834099	0.115351882	0.357834099	0.100237118	0.275797115	0.019110594	0.716975711	0.445858323	0.862289943	0.415248722	0.013014799
Argk	Std	0.383234872	0.177537065	0.950704765	0.257629365	0.950704765	0.551529366	0.300571286	0.15928239	0.256869784	0.445474507	0.27222574	0.77605332	1.46E-08
arm	Std	0.113739328	0.020636302	0.803716527	0.069352415	0.803716527	0.604434999	0.674920639	0.415978985	0.126853575	0.067404197	0.504125779	0.304404182	8.02E-06
arr	Std	0.015549323	0.00970419	0.159661722	0.299761831	0.159661722	0.094534176	0.486811234	0.401042932	0.3060474	0.333584482	0.474901192	0.841467179	4.03E-06
Arr1	Std	0.874005769	0.219105254	0.139547983	0.020682318	0.139547983	0.053655375	0.837961529	0.063740441	0.22068647	0.468821532	0.200135449	0.620199632	0.219459281
Arr2	Std	0.197150742	0.038108478	0.986590338	0.072979242	0.986590338	0.027347492	0.70861299	0.106888259	0.760587333	0.888594088	0.720654678	0.848248134	0.004546831
ash2	In3RP	0.119546371	0.458965053	0.066708726	0.360408264	0.066708726	0.68235711	0.128390382	0.35120356	0.690720354	0.741313365	0.748134295	0.984434632	1.47E-12
asp	In3RP	0.904901887	0.167686778	0.118891306	0.012246124	0.118891306	0.119753255	0.797768635	0.116784138	0.359263675	0.856313408	0.189325269	0.321615691	0.000365403
aub	Std	0.39162142	0.180899622	0.953149655	0.264938504	0.953149655	0.227075109	0.818492497	0.393084157	0.981341911	0.894199806	0.864292687	0.791522	3.13E-10
aurA	Std	0.011256957	0.001953237	0.329437565	0.043448286	0.329437565	0.156128571	0.975908618	0.212814884	0.095055023	0.073740271	0.347998319	0.430988919	0.000120974
awd	Std	0.743849676	0.589891895	0.997006933	0.637322044	0.997006933	0.26317284	0.52804706	0.669480195	0.164995475	0.100413027	0.529719233	0.370170044	0.459977312
Axs	Std	0.90041961	0.55072128	0.429474391	0.229450631	0.429474391	0.044320649	0.993777139	0.079782491	0.177669652	0.147541788	0.439611108	0.573552889	8.11E-07
b	Std	0.986752552	0.45825594	0.502308573	0.222610747	0.502308573	0.036208626	0.18697984	0.003950971	0.662769048	0.164454619	0.513374132	0.079733583	1.19E-05
bam	Std	0.584148016	0.287043367	0.866340914	0.285500114	0.866340914	0.444000494	0.362703127	0.147530883	0.521023182	0.766021161	0.459963354	0.679262126	0.099762017
baz	Std	0.898599099	0.51507466	0.663675694	0.347025361	0.663675694	0.541055453	0.458669142	0.241318953	0.83200535	0.969508852	0.758997361	0.813430856	2.98E-06
bcd	Std	0.024053916	0.002543809	0.571430419	0.023142926	0.571430419	0.168582303	0.991037358	0.220059027	0.15761093	0.081074951	0.581889272	0.281655115	0.00083629
ben	Std	0.12115361	0.283923508	0.140393965	0.723237994	0.140393965	0.391140637	0.848752592	0.559480273	0.357556889	0.8291314	0.198143155	0.349674553	5.58E-05
bib	Std	0.282321051	0.234459294	0.534044058	0.715121786	0.534044058	0.286677624	0.364989826	0.090421195	0.321820017	0.909560492	0.150323623	0.224379168	0.079172335
bic	Std	0.685571571	0.401363054	0.8594936	0.37775857	0.8594936	0.49934588	0.52935951	0.258538023	0.704869077	0.868267292	0.650202866	0.801500435	0.0180385
BicC	Std	0.240837015	0.03031068	0.787998523	0.035300659	0.787998523	0.185060916	0.532765104	0.093320267	0.450695526	0.37930021	0.721574138	0.649450819	0.002522034
BicD	Std	0.080413483	0.00673243	0.924565844	0.021417762	0.924565844	0.395305078	0.61628243	0.241929909	0.122605429	0.05440215	0.551232057	0.238827938	0.97202066
boss	Std	0.507832231	0.675767154	0.160664065	0.106655722	0.160664065	0.068329186	0.860814346	0.174399042	0.070222291	0.152662214	0.122360781	0.832760788	2.10E-07
brm	Std	0.132996474	0.007385578	0.774686673	0.010031059	0.774686673	0.321551105	0.588106084	0.184961622	0.216493433	0.079231314	0.797826219	0.188319548	0.039575181
brn	Std	0.117204833	0.100343891	0.356817353	0.511686165	0.356817353	0.140369537	0.305586981	0.670847734	0.973214991	0.871806105	0.915882743	0.816496926	0.798855643
Bsg25D	Std	0.743180429	0.79891189	0.778291616	0.981219929	0.778291616	0.44370577	0.957936262	0.476607009	0.913049297	0.607708076	0.738786526	0.462295019	0.048331858
bsk	Std	0.027099664	0.003327085	0.490929239	0.050059797	0.490929239	0.015893694	0.155112917	0.407378143	0.903052135	0.566392509	0.458951017	0.253899958	9.60E-18
bur	Std	0.069511402	0.008968604	0.750516404	0.042307906	0.750516404	0.083268987	0.313691596	0.520297198	0.877899441	0.345513707	0.488047457	0.157206029	0.001070403
bw	Std	0.012969253	0.03875643	0.040485473	0.756951648	0.040485473	0.008101023	0.538749052	0.005700284	0.194069441	0.501820557	0.010971857	0.004565554	2.49E-05
by	Std	0.21569183	0.039192454	0.96173745	0.067364925	0.96173745	0.336790687	0.776172955	0.282320132	0.405320615	0.258084151	0.813994867	0.439001562	6.39E-05
c(3)G	Std	0.002191379	0.039833601	0.002596537	0.35333249	0.002596537	0.021110396	0.004561615	0.608398579	0.961293896	0.781754784	0.845739241	0.682163968	0.273303539
ca	Std	0.012021351	0.010091757	0.117621173	0.353507958	0.117621173	0.557632033	0.374452754	0.790139869	0.096206496	0.042410814	0.490757209	0.234325563	2.59E-07
cact	Std	0.03403871	0.004889283	0.532980144	0.050130781	0.532980144	0.083438851	0.885649818	0.103487328	0.238735114	0.244109478	0.44301992	0.727403867	8.17E-06
cad	Std	0.003959288	0.000429737	0.248330021	0.027435146	0.248330021	0.028978305	0.642849817	0.126052928	0.180708674	0.134674003	0.486746188	0.478467094	1.77E-05
Cam	Std	0.464410272	0.787705807	0.354391575	0.564982943	0.354391575	0.233190129	0.471038522	0.680485903	0.65960604	0.354050899	0.835370247	0.324657112	0.000314427
capu	Std	0.137151998	0.181590975	0.269232791	0.834778223	0.269232791	0.364254382	0.072864471	0.435130598	0.866566081	0.66480564	0.478935135	0.322363379	0.669170795
car	Std	0.128513233	0.166655667	0.26728684	0.782822892	0.26728684	0.51138802	0.848992271	0.675629168	0.316324835	0.46470821	0.361166415	0.884137134	2.77E-05
CkIIbeta	Std	0.039048357	0.012941979	0.375122736	0.15163765	0.375122736	0.224890236	0.45939182	0.092213755	0.073568633	0.183592603	0.106862365	0.796232395	1.14E-11
Cat	Std	0.139165632	0.016841729	0.983699336	0.034349151	0.983699336	0.129799873	0.69987238	0.099071396	0.42994114	0.354906922	0.714709686	0.623265695	0.000928897
Pka-C1	Std	0.161027863	0.039679199	0.823877837	0.108407799	0.823877837	0.552686654	0.841660563	0.731376894	0.062632337	0.009221705	0.674798731	0.054136865	0.000217815
Cp190	Std	0.028746353	0.002065345	0.660658768	0.018453848	0.660658768	0.423600823	0.482608586	0.193831178	0.032825453	0.018130495	0.255489359	0.267502697	0.000223211
Cf2	Std	0.006906882	0.008848431	0.064540865	0.482634264	0.064540865	0.359019686	0.087654341	0.479757372	0.244372832	0.078950314	0.885809007	0.160533821	0.000567409
salr	Std	0.35615431	0.080427943	0.856052537	0.104484047	0.856052537	0.114665866	0.475782627	0.051383536	0.672427028	0.86882318	0.60347062	0.748351078	0.009244628
cg	Std	0.02644583	0.008546456	0.318778237	0.139324186	0.318778237	0.052792563	0.567692947	0.22731628	0.471833944	0.454080656	0.667587978	0.78027162	0.434323349
Col4a1	Std	0.103295538	0.047495523	0.49683222	0.247235572	0.49683222	0.024404212	0.719788824	0.094928012	0.981625939	0.775039063	0.746984788	0.596951417	0.67454459
ChAT	In3RP	0.304383683	0.63961539	0.238314905	0.489453924	0.238314905	0.533308207	0.388030249	0.196407302	0.401502763	0.276498164	0.753950176	0.528547605	5.07E-05
chif	Std	0.078001913	0.007661061	0.86715685	0.027609383	0.86715685	0.36205378	0.854227531	0.341764007	0.18241914	0.068892269	0.725433184	0.195958781	0.644358938
chic	Std	0.322726611	0.978505204	0.103043988	0.148085969	0.103043988	0.342782343	0.057124838	0.392647476	0.441163867	0.329591441	0.775632721	0.546958054	0.269319168
cin	Std	0.502034093	0.113115018	0.61344624	0.070765977	0.61344624	0.449243075	0.301009204	0.122182397	0.401104701	0.400034903	0.593650666	0.786886352	9.74E-05
ck	Std	0.08618234	0.079136903	0.288215992	0.537456769	0.288215992	0.37954712	0.425440871	0.944196821	0.477654463	0.370258346	0.789436883	0.584633744	0.000176408
cl	Std	0.93103772	0.297455855	0.364229215	0.092920219	0.364229215	0.399892681	0.564648996	0.814433447	0.435685643	0.841042722	0.142336064	0.147773499	0.389475001
Chc	Std	0.838441867	0.363832241	0.564198986	0.198838487	0.564198986	0.896594432	0.163571009	0.269333719	0.255626952	0.299942548	0.407914112	0.854135812	0.455831212
eya	Std	0.040930769	0.01505209	0.375672414	0.152319327	0.375672414	0.288517839	0.616871743	0.615543937	0.267531439	0.156451105	0.702516979	0.35398575	0.420663073
clt	Std	0.152599361	0.136187994	0.404004944	0.518477774	0.404004944	0.101989822	0.275271807	0.571691407	0.799025139	0.8728334	0.794767285	0.940395536	1.37E-05
cm	Std	0.040749755	0.017329117	0.33638381	0.197191699	0.33638381	0.197569857	0.339446705	0.053676844	0.066644067	0.257304605	0.060876685	0.494634183	0.101452049
cni	Std	0.355212828	0.456658476	0.026535564	0.011085611	0.026535564	0.777650532	0.063788552	0.167289372	0.690932885	0.30623017	0.702784939	0.222636585	0.922170729
comt	Std	0.19983134	0.349100921	0.246097904	0.793904901	0.246097904	0.146666089	0.665685369	0.398321068	0.881395086	0.59640136	0.46791123	0.274516617	6.52E-22
cort	Std	0.340408881	0.090886854	0.827990365	0.088996059	0.827990365	0.050246513	0.895632436	0.061149613	0.816388923	0.770616168	0.932115391	0.853452463	0.000106111
cos	Std	0.153448036	0.016349035	0.905484697	0.02748857	0.905484697	0.518658429	0.507740026	0.257365993	0.152548835	0.072878069	0.587036129	0.269794554	0.513943612
Cp15	Std	0.250425997	0.563851652	0.191546537	0.523854842	0.191546537	0.433436333	0.965733337	0.470015743	0.111423017	0.177328763	0.205469232	0.924154772	0.23639377
Cp16	Std	0.091382885	0.339526998	0.06812474	0.456544654	0.06812474	0.390372056	0.985711728	0.463510335	0.029611119	0.080752799	0.065521101	0.954877477	0.234829287
Cp18	Std	0.096467494	0.566250079	0.035899633	0.158547598	0.035899633	0.404411299	0.965092363	0.448953506	0.035532594	0.166575163	0.039173447	0.498154158	0.481044768
Cp19	Std	0.101030005	0.335052561	0.084702642	0.494413252	0.084702642	0.380932471	0.851413276	0.357730205	0.041909098	0.071593488	0.121530651	0.809488941	0.26162775
Cp36	Std	0.2872012	0.554632678	0.25292579	0.609920102	0.25292579	0.275723783	0.597906451	0.629564993	0.934982669	0.61425219	0.533375438	0.327938021	0.090474548
Cp38	Std	0.456540097	0.718444209	0.395212774	0.656416401	0.395212774	0.384977083	0.738923861	0.645927839	0.989266989	0.6095741	0.603022199	0.371231031	0.118678792
crc	Std	0.064237255	0.017801854	0.515364968	0.127819831	0.515364968	0.621318133	0.838512855	0.802379023	0.148905799	0.05628807	0.65373479	0.200025171	7.33E-08
crm	Std	0.049454017	0.007981053	0.601690377	0.056161221	0.601690377	0.179531108	0.703577699	0.134722143	0.164746088	0.167518019	0.368922725	0.668882652	0.036650342
crn	Std	0.338998317	0.48768856	0.382153431	0.880147185	0.382153431	0.607052983	0.321600275	0.681222887	0.970755672	0.858140784	0.904936062	0.795304302	0.207949748
csw	Std	0.020452571	0.032428474	0.092086592	0.676883067	0.092086592	0.162746348	0.730283652	0.131326664	0.003678642	0.000690391	0.176847629	0.056357715	0.538978961
cta	Std	0.190890272	0.059491193	0.813087535	0.146460311	0.813087535	0.170601095	0.779225371	0.151312011	0.521893189	0.594043496	0.605972762	0.987588849	0.007067655
cup	Std	0.01884799	0.000697202	0.710315327	0.007185126	0.710315327	0.032944356	0.942289534	0.055465184	0.259157552	0.161052487	0.656664757	0.401975312	0.000126031
cv	Std	0.004721039	0.000851167	0.193577716	0.064636262	0.193577716	0.006929271	0.050032821	0.542166074	0.995465806	0.477787248	0.495064912	0.228362138	0.007657133
cv-2	Std	0.09034992	0.005341837	0.940124745	0.024787955	0.940124745	0.181402454	0.469044977	0.081884526	0.166555399	0.128566571	0.433952493	0.576985291	1.15E-08
CycA	Std	0.010384607	0.001545823	0.312960662	0.049885618	0.312960662	0.096305334	0.949070897	0.164618319	0.11679063	0.104048804	0.342988399	0.548875447	0.003364815
CycB	Std	0.039565203	0.005712604	0.565456543	0.051084805	0.565456543	0.20596983	0.761685854	0.174927191	0.133857883	0.114095106	0.380054138	0.532693422	0.17003137
Cyt-b5-r	Std	0.135390382	0.036317686	0.746965184	0.116177485	0.746965184	0.897907451	0.054705046	0.075334498	0.01109934	0.048458284	0.026022988	0.824055079	2.25E-06
D1	Std	0.275683728	0.049043645	0.836182319	0.059053531	0.836182319	0.199434061	0.947884814	0.289526365	0.788208594	0.476416039	0.785346157	0.392966163	7.24E-09
Dab	Std	0.239966896	0.03183398	0.795099894	0.036598209	0.795099894	0.568232637	0.590477923	0.336279912	0.24788256	0.108646758	0.780112132	0.245216157	0.00024101
Sap-r	Std	0.997207515	0.193001414	0.194253975	0.026095079	0.194253975	0.442479946	0.034910566	0.232457171	0.077685948	0.041334693	0.397658987	0.285044293	0.027657678
Ddc	Std	0.049827428	0.021500419	0.332765835	0.282986263	0.332765835	0.153360888	0.504815807	0.556578695	0.472332851	0.364539378	0.765757053	0.629890717	3.19E-11
SmF	Std	0.218884288	0.291047531	0.337017917	0.914250214	0.337017917	0.517680584	0.852023678	0.680796419	0.473314412	0.682877862	0.442374761	0.759092187	0.057654315
Dec.01	Std	0.206902375	0.544468398	0.14520789	0.449683022	0.14520789	0.574210045	0.515877657	0.938489201	0.048082889	0.245309839	0.037378536	0.403311153	0.758879654
Pkg21D	Std	0.039572608	0.01650529	0.325737526	0.211937184	0.325737526	0.688458455	0.923927183	0.669443172	0.061895785	0.043723143	0.290232953	0.407348869	0.051010018
Dhod	Std	0.204586702	0.453168341	0.182281229	0.616904509	0.182281229	0.676221595	0.145695494	0.369331649	0.897717758	0.739346588	0.899889742	0.689171273	2.59E-09
Hr3	Std	0.904357527	0.634331657	0.559822632	0.357720858	0.559822632	0.52747633	0.821910241	0.477716433	0.746306773	0.87097424	0.724487428	0.841053836	1.47E-08
ect	Std	0.466229915	0.776724288	0.237016478	0.170924197	0.237016478	0.255135805	0.650638505	0.181782545	0.708555264	0.158897541	0.116121582	0.012875745	0.000994487
Dip-B	Std	0.574759322	0.973268355	0.378307462	0.459430066	0.378307462	0.733389178	0.011303268	0.012606106	0.408064754	0.708458119	0.087436857	0.071284781	0.922880313
Dip-C	Std	0.770231611	0.983510167	0.6492428	0.703999972	0.6492428	0.106893798	0.048122268	0.730168273	0.057472515	0.110799998	0.12529107	0.966879977	0.22323413
disco	Std	0.079606133	0.261889206	0.084060703	0.503648424	0.084060703	0.94859712	0.56572365	0.646500567	0.035613335	0.237016437	0.026932462	0.274011317	0.000717282
Dl	In3RP	0.022707796	0.004681422	0.396490895	0.065916254	0.396490895	0.439117257	0.652071721	0.758669199	0.119317023	0.034150157	0.692203035	0.122709777	0.001822645
Lar	Std	0.011185044	0.014367603	0.081803156	0.515920426	0.081803156	0.779374523	0.682983993	0.54960027	0.013879012	0.006931891	0.17979693	0.214698981	0.000207945
Cyp6a2	Std	0.975330855	0.426844487	0.454304435	0.182111804	0.454304435	0.418021551	0.677868207	0.287680562	0.83102343	0.988056613	0.737998379	0.78125998	0.034318539
DNaseII	In3RP	0.345002745	0.033725427	0.554483195	0.020025087	0.554483195	0.170839698	0.852788056	0.18342605	0.8153285	0.433827303	0.6879847	0.304504373	0.111535804
dnc	Std	0.085782739	0.031089209	0.515815506	0.182109208	0.515815506	0.192650559	0.410917648	0.67357049	0.663756498	0.374863946	0.861831617	0.357705864	3.50E-06
dor	Std	0.150956181	0.023979912	0.951073019	0.054509619	0.951073019	0.435056669	0.661779719	0.290561392	0.222240495	0.131415282	0.621104957	0.37917882	0.00546055
Pka-C3	Std	0.342953038	0.073791577	0.825487529	0.085305139	0.825487529	0.400552508	0.450718868	0.965672403	0.978531978	0.334352688	0.333844783	0.096070779	2.95E-11
dpp	Std	0.270160991	0.048261139	0.899785061	0.075742272	0.899785061	0.591109411	0.510616164	0.873123506	0.714784007	0.145858247	0.442950298	0.059800457	2.41E-06
Dr	Std	0.207362139	0.067132217	0.779329425	0.196921966	0.779329425	0.568401373	0.661201343	0.390957129	0.208128053	0.018840616	0.875620304	0.041057378	0.000817394
dsh	Std	0.088787466	0.011674593	0.84078933	0.038766406	0.84078933	0.315726772	0.952155044	0.349396089	0.260220955	0.116238697	0.795416897	0.24785509	0.009666804
Dsk	Std	0.024389678	0.030006131	0.130120744	0.467521936	0.130120744	0.52461953	0.383285062	0.864258485	0.175116776	0.120046148	0.523096138	0.388134566	0.063087053
dsx	Std	0.513574299	0.150538567	0.716737424	0.120904248	0.716737424	0.240292377	0.870416461	0.388252413	0.873336894	0.792550796	0.606212251	0.497495652	0.069918591
dwg	Std	0.520796656	0.145161036	0.665134303	0.100656895	0.665134303	0.423129927	0.89074926	0.410316959	0.82192231	0.508774521	0.770192626	0.408298189	0.637023159
dx	Std	0.005374077	0.000257769	0.434404702	0.007451475	0.434404702	0.001495485	0.53261731	0.018823445	0.661138144	0.575585395	0.875365998	0.724958597	0.012743136
e	In3RP	0.205404933	0.024104026	0.868029807	0.038803385	0.868029807	0.002937751	0.8395636	0.005598757	0.61289328	0.400961864	0.971944585	0.436608971	0.644788551
ea	Std	0.26416674	0.472292631	0.264406207	0.740707599	0.264406207	0.333706805	0.878357547	0.471597639	0.66995049	0.798447955	0.338967579	0.29441982	0.025170267
eag	Std	0.775541535	0.625623179	0.368007715	0.224788981	0.368007715	0.61558262	0.849929572	0.807857479	0.490608728	0.985504206	0.289680111	0.343298328	5.18E-05
eas	Std	0.005909704	0.001451655	0.188379975	0.082093399	0.188379975	0.032521403	0.817953506	0.092820039	0.170973896	0.247049302	0.275760062	0.95199973	9.08E-12
E(bx)	Std	0.052889374	0.00446599	0.790148222	0.022348761	0.790148222	0.385974252	0.904566896	0.516176688	0.174392447	0.04039375	0.883419335	0.094283054	0.557226976
ec	Std	0.871209992	0.483275686	0.6672264	0.327350784	0.6672264	0.554708844	0.12293998	0.066392473	0.45976709	0.915355421	0.268800222	0.386547545	0.649082242
ecd	Std	0.0720756	0.044572308	0.35490642	0.317477846	0.35490642	0.092433437	0.813512647	0.197527037	0.533108216	0.736773826	0.492578443	0.763993115	1.70E-05
EcR	Std	0.000174942	9.60E-06	0.098047472	0.006153973	0.098047472	0.070780468	0.706577727	0.056929387	0.002911839	0.003474317	0.045339907	0.377832313	0.003760923
ed	Std	0.057750412	0.016296884	0.492346918	0.124595323	0.492346918	0.337336015	0.681119626	0.631360076	0.27745373	0.135415469	0.781891392	0.285618322	0.00464091
eEF1alpha2	Std	0.266933571	0.012167307	0.456535599	0.005379838	0.456535599	0.005634896	0.684850915	0.0060705	0.697138711	0.764686744	0.735444699	0.974678209	0.233021267
eEF2	Std	0.726191995	0.512518106	0.935734178	0.523306096	0.935734178	0.960838769	0.937095374	0.979053505	0.785212576	0.544199722	0.872945601	0.505769613	0.011854708
egl	Std	0.188809814	0.051981792	0.849462718	0.123984155	0.849462718	0.19906151	0.867429362	0.20733447	0.525052898	0.494051969	0.721319284	0.775380616	0.002471379
Eip71CD	Std	0.028370933	0.002501611	0.637968311	0.020095452	0.637968311	0.197978409	0.268949194	0.039943809	0.039420768	0.066580504	0.120404653	0.749980681	0.004933945
Eip55E	Std	0.158376408	0.355072542	0.164814204	0.679608995	0.164814204	0.509382006	0.817450034	0.439232349	0.248332186	0.789139315	0.106809304	0.237626954	0.117809166
Eip74EF	Std	0.278897944	0.827333998	0.124059006	0.243896471	0.124059006	0.541794099	0.877587163	0.702773534	0.535446839	0.691751964	0.172227664	0.12323405	0.040284608
Eip75B	Std	0.343910999	0.267601501	0.657294163	0.564781144	0.657294163	0.73053583	0.420224399	0.681218472	0.809382989	0.443173258	0.716432961	0.328520461	0.000353539
emc	Std	0.317517986	0.042572139	0.648555993	0.03055791	0.648555993	0.058527461	0.953346368	0.085423935	0.87725187	0.894230055	0.694131402	0.649759461	0.003769639
ena	Std	0.014569459	0.003198879	0.302252672	0.079424727	0.302252672	0.066660731	0.132771331	0.749773928	0.661199321	0.230899082	0.630189634	0.14676481	0.391860782
Eno	Std	0.97585861	0.981034048	0.979444599	0.99881973	0.979444599	0.033839089	0.791160493	0.100224223	0.147599757	0.035889512	0.81070789	0.099731578	3.58E-11
E(Pc)	Std	0.027103239	0.003792761	0.493493111	0.046541178	0.493493111	0.240122697	0.519407452	0.641698242	0.253531137	0.070531435	0.967329885	0.122019228	0.311340352
esc	Std	0.030080502	0.001397396	0.851212235	0.006222328	0.851212235	0.178515234	0.401401054	0.058559511	0.068717776	0.049793999	0.309844271	0.384194949	0.001478732
Est-6	Std	0.226310348	0.043021708	0.941484836	0.067002919	0.941484836	0.046023067	0.988465273	0.083000447	0.972118322	0.975484302	0.929949689	0.917798483	0.113579068
exd	Std	0.643977475	0.617428098	0.797269568	0.832396617	0.797269568	0.012258612	0.042305794	0.653182104	0.001657775	0.003142441	0.023413741	0.50982896	0.903702806
exu	Std	0.077907982	0.132596972	0.162701909	0.928050551	0.162701909	0.181655214	0.541689644	0.525281184	0.552215632	0.861802341	0.425515391	0.586055809	0.001609149
